岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据研发工程师-数据平台,互联网/电子商务,42-84万,上海,3-4年,本科,字节跳动,"五险一金,免费三餐,弹性工作,团队氛围好,下午茶"
大数据工程师,农/林/牧/渔,9.6-12万,宁德,1年,本科,宁德卫星大数据科技有限公司,"大数据,大数据开发,数据挖掘,开发,数据分析,五险一金,绩效奖金,过节费"
2023/010/01-5G NR工程师（信息系统大数据实验室）,学术/科研,14.4-28.8万,深圳,1年,硕士,深圳市大数据研究院,"五险一金,定期体检,免费班车"
高级Java工程师（大数据，数据挖掘）（TJ0010）,计算机软件,18-36万,苏州,5-7年,本科,万得深圳公司（创真科技）,"周末双休,弹性工作,带薪年假,五险一金,节日福利,餐饮补贴,加班补贴"
企业大数据产品（套期保值）销售顾问,金融/投资/证券,24-48万,杭州,5-7年,大专,杭州迈拓大数据服务有限公司,"渠道开发,客户关系维护,售后支持,年终奖金,弹性工作,五险一金"
BK61SW-资产评估岗（大数据建模估值）,银行,nan-nan万,深圳,3-4年,硕士,平安银行股份有限公司,"资产评估,数据建模,资产估值,五险一金,带薪年假,节日福利,绩效奖金"
2022/017/01-研究科学家（社会行为大数据实验室）,学术/科研,48-84万,深圳,1年,博士,深圳市大数据研究院,"五险一金,定期体检,免费班车"
大数据算法工程师,通信/电信/网络设备,28-42万,广州,5-7年,本科,杰创智能科技股份有限公司,"周末双休,免费班车,节日福利,专业培训,餐饮补贴,五险一金,定期体检"
大数据研发高级工程师 — 实验评估方向,互联网/电子商务,36-48万,南京,5-7年,本科,字节跳动,"六险一金,免费三餐,弹性工作,租房补贴"
(大数据)开发工程师,计算机软件,14-25.2万,宁波,3-4年,本科,宁波金唐软件有限公司,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金,定期体检,节日补贴"
大数据工程师,专业服务(咨询、人力资源、财会),180-300万,苏州,1年,硕士,悉地（苏州）勘察设计顾问有限公司,"做五休二,周末双休,五险一金,节日福利,专业培训,环境好,年终奖"
大数据工程师,通信/电信/网络设备,24-36万,苏州,2年,硕士,苏州恩巨网络有限公司,"架构,大数据,hadoop,五险一金,绩效奖金,员工旅游,餐饮补贴,年终奖金"
大数据研发工程师,互联网/电子商务,24-48万,深圳,无需经验,本科,字节跳动,"下午茶,健身瑜伽,六险一金,五险一金,股票期权,团队氛围好,晋升空间大"
大数据工程师（研）,通信/电信运营、增值服务,19.2-24万,武汉,10年以上,硕士,武汉三江航天网络通信有限公司,"hadoop,hive,ES,HBase,spark,flink,大数据,大数据平台,数据中台"
资深大数据工程师,电气/电力/水利,20.8-37.7万,南京,3-4年,本科,江苏智臻能源科技有限公司,"五险一金,弹性工作,年终奖金,周末双休,节日福利,定期体检,专业培训"
资深大数据工程师,电子技术/半导体/集成电路,22.5-37.5万,上海,5-7年,本科,上海集成电路装备材料产业创新中心有限公司,"编程语言,大数据平台,数据仓库建模,生产制造行业,hadoop,五险一金"
