岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据开发,计算机服务(系统、数据服务、维修),8千-1万,广州,3-4年,本科,广州四必得科技有限公司,"'',"
大数据开发工程师,计算机软件,2-3.2万·14薪,广州·黄埔区,5-7年,本科,重庆新科佳都科技有限公司,"'五险一金\n餐饮补贴\n通讯补贴',"
大数据分析师,计算机软件,8千-1万,深圳·南山区,3-4年,本科,深圳市同创联科信息工程有限公司,"'五险一金\n专业培训\n年终奖金',"
大数据架构师,互联网/电子商务,3-4.5万,深圳·南山区,5-7年,本科,深圳鼎然信息科技有限公司,"'车险\n数据建模\n数据模型\n数据结构\n新能源汽车\n大数据架构\n数据算法',"
大数据运维工程师,互联网/电子商务,7千-1万,西安·雁塔区,3-4年,大专,陕西玖耀启铭科技有限公司,"'计算机\nsql\nhbase\nflink\n五险一金\n补充医疗保险\n补充公积金\n专业培训',"
大数据开发主管,计算机软件,1.2-1.5万,武汉·洪山区,5-7年,本科,上海澳马信息技术服务有限公司,"'大数据开发\n餐饮补贴\n绩效奖金\n定期体检\n五险一金\n年终奖金',"
大数据开发工程师,批发/零售,2.5-3.5万,上海·浦东新区,3-4年,硕士,洽洽快乐有限公司,"'架构设计\n五险一金\n补充医疗保险\n补充公积金',"
大数据产品经理,金融/投资/证券,6千-1.2万,杭州·上城区,无需经验,本科,银联商务股份有限公司浙江分公司,"'大数据\n产品\n五险一金\n周末双休\n年终奖金\n餐饮补贴\n定期体检',"
大数据讲师,教育/培训/院校,8千-1.6万,沈阳,2年,本科,山东中航控股集团有限公司,"'',"
证券大数据分析,计算机软件,1-2万·15薪,南京·栖霞区,无需经验,硕士,江苏斑驹科技有限公司,"'量化\n数据分析\n算法\n数据建模\n大数据\nMatlab\n金融\n证券\n股票',"
Java架构师（有大数据经验）,计算机软件,2.1-2.5万,深圳·福田区,5-7年,本科,神州数码信息服务股份有限公司,"'高并发\n架构师\njava\n计算机\nSQL\n微服务\nmysql\nlinux\nhadoop',"
2023/005/01-研究科学家（政企大数据实验室）,学术/科研,4-7万,深圳·龙岗区,2年,博士,深圳市大数据研究院,"'五险一金\n定期体检\n免费班车',"
大数据运维工程师,计算机软件,1-1.5万,上海·虹口区,3-4年,大专,苏州维莱科软件有限公司,"'运维工程师\n五险一金\n绩效奖金\n年终奖金\n弹性工作',"
大数据实习生/五险一金,计算机软件,6-9千,广州·白云区,无需经验,本科,广州博锐信息技术有限公司,"'数据库\npython\nBI\n五险一金\n员工旅游\n专业培训\n交通补贴\n餐饮补贴',"
大数据项目经理,计算机软件,1.5-2万,南京·雨花台区,3-4年,本科,中兴飞流信息科技有限公司,'大数据\n技术方案\n方案设计\n项目经理\nhadoop\n五险一金\n免费班车']
产品经理（金融或财务大数据分析方向）,计算机软件,5.5千-1.1万·13薪,金华·婺城区,无需经验,本科,浙江思睿智训科技有限公司,"['产品经理\n产品\n运维\n数据分析\n统计\n培训\n五险一金\n员工旅游',"
2023/009/01-WiFi开发工程师（信息系统大数据实验室）,学术/科研,1.2-2.4万,深圳·龙岗区,1年,硕士,深圳市大数据研究院,"'五险一金\n定期体检\n免费班车',"
大数据测试工程师（征信公司）,金融/投资/证券,1-1.6万·15薪,南昌,3-4年,本科,江西联合股权交易中心股份有限公司,"'java\nshell\n测试\n五险一金\n补充医疗保险\n通讯补贴\n交通补贴\n定期体检',"
Java开发（大数据方向）,计算机软件,1-1.5万·13薪,广州·天河区,3-4年,本科,广东众天信息科技有限公司,"'大数据\n数据可视化\n数据中台\nspringcloud\n交通补贴\n弹性工作\n年终奖金',"
MI工业大数据应用顾问,计算机软件,1.3-2.5万,武汉·洪山区,5-7年,本科,广州赛意信息科技股份有限公司,"'生产管理\n供应链\n可视化大屏\n数据治理\n数字化转型\n数字孪生\n集控中心',"
2023/008/01-能源方向科学家（信息系统大数据实验室）,学术/科研,4-7万,深圳·龙岗区,1年,博士,深圳市大数据研究院,"'五险一金\n定期体检\n免费班车',"
大数据研发工程师,石油/化工/矿产/地质,1.5-1.9万,上海·杨浦区,3-4年,硕士,上海达坦能源科技股份有限公司,"'五险一金\n餐饮补贴\n年终奖金\n定期体检',"
大数据研发工程师-数据平台,互联网/电子商务,3.5-7万,上海,3-4年,本科,字节跳动,"'五险一金\n免费三餐\n弹性工作\n团队氛围好\n下午茶',"
大数据工程师,农/林/牧/渔,0.8-1万,宁德,1年,本科,宁德卫星大数据科技有限公司,"'大数据\n大数据开发\n数据挖掘\n开发\n数据分析\n五险一金\n绩效奖金\n过节费',"
2023/010/01-5G NR工程师（信息系统大数据实验室）,学术/科研,1.2-2.4万,深圳·龙岗区,1年,硕士,深圳市大数据研究院,"'五险一金\n定期体检\n免费班车',"
高级Java工程师（大数据，数据挖掘）（TJ0010）,计算机软件,1.5-3万,苏州,5-7年,本科,万得深圳公司（创真科技）,"'周末双休\n弹性工作\n带薪年假\n五险一金\n节日福利\n餐饮补贴\n加班补贴',"
企业大数据产品（套期保值）销售顾问,金融/投资/证券,2-4万,杭州·上城区,5-7年,大专,杭州迈拓大数据服务有限公司,"'渠道开发\n客户关系维护\n售后支持\n年终奖金\n弹性工作\n五险一金',"
BK61SW-资产评估岗（大数据建模估值）,银行,,深圳·罗湖区,3-4年,硕士,平安银行股份有限公司,"'资产评估\n数据建模\n资产估值\n五险一金\n带薪年假\n节日福利\n绩效奖金',"
2022/017/01-研究科学家（社会行为大数据实验室）,学术/科研,4-7万,深圳·龙岗区,1年,博士,深圳市大数据研究院,"'五险一金\n定期体检\n免费班车',"
大数据算法工程师,通信/电信/网络设备,2-3万·14薪,广州·黄埔区,5-7年,本科,杰创智能科技股份有限公司,"'周末双休\n免费班车\n节日福利\n专业培训\n餐饮补贴\n五险一金\n定期体检',"
大数据研发高级工程师 — 实验评估方向,互联网/电子商务,3-4万,南京,5-7年,本科,字节跳动,"'六险一金\n免费三餐\n弹性工作\n租房补贴',"
(大数据)开发工程师,计算机软件,1-1.8万·14薪,宁波,3-4年,本科,宁波金唐软件有限公司,"'五险一金\n员工旅游\n专业培训\n绩效奖金\n年终奖金\n定期体检\n节日补贴',"
大数据工程师,专业服务(咨询、人力资源、财会),15-25万/年,苏州·苏州工业园区,1年,硕士,悉地（苏州）勘察设计顾问有限公司,"'做五休二\n周末双休\n五险一金\n节日福利\n专业培训\n环境好\n年终奖',"
大数据工程师,通信/电信/网络设备,2-3万,苏州,2年,硕士,苏州恩巨网络有限公司,"'架构\n大数据\nhadoop\n五险一金\n绩效奖金\n员工旅游\n餐饮补贴\n年终奖金',"
大数据研发工程师,互联网/电子商务,2-4万,深圳,无需经验,本科,字节跳动,'下午茶\n健身瑜伽\n六险一金\n五险一金\n股票期权\n团队氛围好\n晋升空间大']
大数据工程师（研）,通信/电信运营、增值服务,1.6-2万,武汉,10年以上,硕士,武汉三江航天网络通信有限公司,"['hadoop\nhive\nES\nHBase\nspark\nflink\n大数据\n大数据平台\n数据中台',"
资深大数据工程师,电气/电力/水利,1.6-2.9万·13薪,南京·江宁区,3-4年,本科,江苏智臻能源科技有限公司,"'五险一金\n弹性工作\n年终奖金\n周末双休\n节日福利\n定期体检\n专业培训',"
资深大数据工程师,电子技术/半导体/集成电路,1.5-2.5万·15薪,上海,5-7年,本科,上海集成电路装备材料产业创新中心有限公司,"'编程语言\n大数据平台\n数据仓库建模\n生产制造行业\nhadoop\n五险一金',"
大数据研发工程师,互联网/电子商务,3-5万,北京,无需经验,本科,字节跳动,"'免费三餐\n租房补贴',"
大数据工程师,文字媒体/出版,2-4万,北京·通州区,2年,本科,曼迪匹艾（北京）科技服务有限公司,"'spark\nshell\n编程语言\n项目开发\n英语\nmysql\n数据分析\n数据管理',"
大数据算法工程师,学术/科研,20-40万/年,杭州·临平区,3-4年,硕士,浙江大学高端装备研究院,"'java\n数据分析\n数据采集\nhadoop\nspark\n物联网\n数据挖掘\n智能制造',"
大数据研发工程师,新能源,1-2万,上海·宝山区,3-4年,本科,宝武碳业科技股份有限公司,"'hadoop\n数据库\n数据分析\n五险一金\n补充公积金\n通讯补贴\n餐饮补贴',"
大数据研发工程师,互联网/电子商务,3.5-7万,北京,3-4年,本科,字节跳动,"'免费三餐\n租房补贴\n餐补\n弹性工作\n六险一金\n健身瑜伽\n带薪休假',"
大数据研发工程师-2143,计算机软件,1.5-1.8万,株洲·石峰区,5-7年,本科,瞬联软件科技（北京）有限公司 CIeNET Technologies,"'补充医疗保险\n定期体检\n七险一金\n带薪年假\n带薪病假\n免费健身',"
高级大数据工程师,计算机软件,3-4万,广州·越秀区,3-4年,本科,广州安永八达创意科技有限公司,"'大数据\n五险一金\n年终奖金\n定期体检\n周末双休\n补充医疗保险\n商业保险',"
大数据开发工程师,农/林/牧/渔,0.8-1万,宁德,1年,本科,宁德卫星大数据科技有限公司,"'大数据\n大数据开发\n数据挖掘\n开发\n数据分析\n五险一金\n绩效奖金\n过节费',"
大数据算法工程师,计算机软件,1.5-2万,广州·天河区,2年,大专,北京神州泰岳软件股份有限公司,"'sql\nhive\nspark\n模型搭建\n数据建模\n五险一金\n大平台\n专业培训',"
大数据开发工程师,互联网/电子商务,2-2.5万·13薪,上海·杨浦区,5-7年,本科,上海易班企业发展有限公司,"'大数据\n技术难题攻关\n开发优化\n算法调优\n五险一金\n餐饮补贴\n交通补贴',"
大数据工程师,机械/设备/重工,8千-1.5万,杭州·钱塘区,2年,本科,杭州和泰机电股份有限公司,"'数据库\n数据分析\n五险一金\n周末双休\n带薪年假\n节日福利\n餐饮补贴',"
大数据工程师,计算机软件,20-30万/年,南京,1年,本科,南京洲源信息科技有限公司,"'大数据\n五险一金\n弹性工作\n股票期权\n年终奖金\n绩效奖金',"
大数据工程师,专业服务(咨询、人力资源、财会),1-1.5万,大连·金州区,5-7年,大专,大连文鑫企业服务有限公司,"'hadoop\n数据库\nhive\n周末双休\n员工旅游\n节日福利\n五险一金',"
大数据开发工程师,计算机软件,7千-1.1万,深圳·宝安区,无需经验,本科,贵州开阔科技有限公司,"'python\nsql\n五险一金\n年终奖金\n定期体检',"
大数据工程师,互联网/电子商务,1.1-1.8万,南京,2年,本科,江苏省未来网络创新研究院,"'大数据\n存储\n五险一金\n交通补贴\n餐饮补贴\n通讯补贴\n年终奖金\n弹性工作',"
大数据开发工程师,电子技术/半导体/集成电路,1.2-2.4万,成都,3-4年,本科,疆域康健创新医疗科技成都有限公司,"'python\nLinux\nhadoop\n数据分析\n数据库\n五险一金\n专业培训\n绩效奖金',"
大数据工程师,计算机软件,8千-1.4万,重庆·渝北区,3-4年,本科,中讯志远（武汉）科技有限公司,'python\nkafka\nhadoop\n银行\nflink\n年终奖金\n五险一金']
大数据开发工程师,计算机软件,1.5-2.5万·13薪,广州·黄埔区,2年,本科,神州数码信息服务股份有限公司,"['五险一金\n员工旅游\n交通补贴\n餐饮补贴\n专业培训\n绩效奖金\n年终奖金',"
大数据开发工程师(校招岗位）,电子技术/半导体/集成电路,20-32万/年,长沙·岳麓区,2年,本科,杭州广立微电子股份有限公司,"'大数据\n大数据开发\n开发\n五险一金\n员工旅游\n餐饮补贴\n通讯补贴',"
大数据工程师,机械/设备/重工,1.2-1.5万,徐州,3-4年,本科,徐州徐工农业装备科技有限公司,"'数据库\netl\n建模\n数据仓库\n数据建模\n大数据\n数据管理\n数据敏感',"
大数据研发专家-风控数据BP方向,互联网/电子商务,2.5-5万,北京,3-4年,本科,字节跳动,"'下午茶\n健身瑜伽\n五险一金\n股票期权\n团队氛围好\n晋升空间大\n带薪休假',"
中高级大数据开发工程师-7976,计算机软件,7千-1.2万,重庆,3-4年,大专,瞬联软件科技（北京）有限公司 CIeNET Technologies,"'补充医疗保险\n定期体检\n七险一金\n带薪年假\n带薪病假\n免费健身',"
高级大数据开发工程师,快速消费品(食品、饮料、化妆品),2.5-4万,广东省,8-9年,硕士,佛山市海天调味食品股份有限公司,"'大数据开发\n五险一金\n免费班车\n年终奖金\n提供食宿\n定期体检\n员工旅游',"
模型开发（大数据开发）,计算机软件,1.5-2万,深圳·福田区,3-4年,本科,深圳市睿服科技有限公司,"'金融\nhadoop\nhive\n建模\n五险一金\n周末双休\n不补班',"
大数据资深专家,互联网/电子商务,4-7万,北京,5-7年,本科,字节跳动,"'健身瑜伽\n六险一金\n带薪休假\n餐补\n免费三餐\n弹性工作\n租房补贴',"
大数据开发工程师,学术/科研,15-18万/年,武汉·洪山区,3-4年,本科,湖北珞珈实验室,"'补充医疗保险\n绩效奖金\n定期体检\n专业培训\n餐饮补贴',"
大数据工程师,计算机软件,1-1.5万,重庆·渝北区,3-4年,本科,重庆扬升科技集团有限公司,"'flink\nspark\nstorm\nhadoop\njava\n计算机\nhive\nkafka',"
大数据开发,互联网/电子商务,7千-1.4万,青岛,无需经验,本科,青岛黑臻科技信息有限公司,"'hadoop\njava\nhive\n数据库\n数据分析\nsql\nspark\npython\n计算机',"
大数据专家,互联网/电子商务,4-7万,北京,5-7年,本科,字节跳动,"'五险一金\n股票期权',"
大数据开发工程师,制药/生物工程,1-2万,南京·溧水区,2年,大专,上海优宁维生物科技股份有限公司,"'五险一金\n员工旅游\n交通补贴\n年终奖金\n专业培训\n餐饮补贴\n定期体检',"
大数据开发工程师,计算机软件,1-1.5万·13薪,宁波,2年,大专,宁波思艾特软件有限公司,"'五险一金\n交通补贴\n出国机会\n专业培训\n通讯补贴\n餐饮补贴\n弹性工作',"
大数据开发,互联网/电子商务,6千-1.2万,青岛,无需经验,本科,青岛黑臻科技信息有限公司,"'hadoop\njava\n数据库\nhive\n数据分析\nsql\nspark\npython',"
大数据开发工程师-数据湖方向,互联网/电子商务,2-4万,北京,3-4年,本科,字节跳动,"'弹性工作\n六险一金\n带薪休假\n免费三餐\n扁平管理\n下午茶\n租房补贴',"
大数据分析师,通信/电信运营、增值服务,5千-1万,广州·天河区,1年,大专,宜通世纪科技股份有限公司,"'sql\npython\n五险一金\n专业培训\n通讯补贴\n餐饮补贴\n绩效奖金\n年终奖金',"
大数据分析,计算机软件,7千-1.2万,沈阳,2年,本科,光谷动力（北京）科技有限公司,"'计算机\n经济\n测试方案\n五险一金\n通讯补贴\n绩效奖金\n餐饮补贴\n交通补贴',"
大数据算法工程师,计算机软件,1.5-2万,南昌·西湖区,5-7年,本科,南昌协达科技发展有限公司,"'数据分析模型\n数据模型\njava\n数据挖掘\nhadoop\nspark\n绩效奖金',"
大数据开发工程师-移互创新部,计算机软件,1-1.5万,上海,3-4年,本科,中数通信息有限公司,"['数据仓库\n数据挖掘\n数据平台\n数据可视化\n数据处理\n大数据开发\n周末双休',"
大数据分析,计算机软件,8千-1.2万,北京·海淀区,2年,大专,光谷动力（北京）科技有限公司,"'计算机\n经济\nit\n五险一金\n通讯补贴\n绩效奖金\n餐饮补贴\n交通补贴',"
大数据算法分析,汽车,18-30万/年,武汉,3-4年,本科,东风悦享科技有限公司,"'车联网\n数据分析\n五险一金\n补充医疗保险\n交通补贴\n餐饮补贴\n绩效奖金',"
大数据研发专家,互联网/电子商务,3-6万,北京,无需经验,本科,字节跳动,"'五险一金\n下午茶\n租房补贴\n免费三餐\n弹性工作',"
大数据开发工程师,通信/电信/网络设备,1.5-2.5万,北京·朝阳区,3-4年,硕士,北京三星通信技术研究有限公司,"'五险一金\n补充医疗保险\n餐饮补贴\n年终奖金\n弹性工作\n定期体检\n专业培训',"
大数据开发工程师,计算机服务(系统、数据服务、维修),6.5千-1.2万,石家庄·裕华区,无需经验,大专,河北蓝潮信息技术有限公司,"'数据仓库\nshell\npython\nscala\n大数据平台\n数据挖掘\n大数据开发',"
大数据架构师,计算机服务(系统、数据服务、维修),2-3万,上海·长宁区,5-7年,本科,上海神州数码有限公司,"'架构设计\n技术方案\n数据可视化\n大数据平台\n数据建模\n数据采集\n大数据',"
大数据分析师,互联网/电子商务,1.1-2万,海口,5-7年,本科,数字海南有限公司,"'五险一金\n餐饮补贴\n绩效奖金\n年终奖金\n弹性工作',"
大数据算法工程师,计算机软件,2-2.5万,南京·秦淮区,3-4年,硕士,南京视察者智能科技有限公司,"'大数据\nC++\n算法\n五险一金\n员工旅游\n餐饮补贴\n专业培训\n定期体检',"
大数据开发工程师,房地产,10-15万/年,武汉·江汉区,3-4年,本科,武汉金融街投资控股集团有限公司（原江汉区房地产公司）,"'周末双休\n带薪年假\n包吃\n加班补贴\n五险一金\n绩效奖金\n定期体检',"
大数据分析师,计算机软件,7千-1.4万,武汉·武昌区,1年,本科,武汉市禾亭亿电子商务有限公司,"'excel\n计算机\n数据分析\n报表\n建模\nsql\n数据治理\n大数据平台',"
大数据分析,计算机服务(系统、数据服务、维修),1.3-1.7万,北京·西城区,3-4年,本科,振宁（无锡）智能科技有限公司,"'数据分析\n大数据\nspss\ntableau\n数据敏感\n清洗\n电力设备\npython',"
大数据Hadoop开发工程师,计算机服务(系统、数据服务、维修),1.3-1.8万,广州·天河区,5-7年,本科,广州华景政通信息技术有限公司,"'五险一金\n弹性工作\n定期体检\n专业培训\n节日福利\n周末双休',"
大数据分析,计算机软件,6千-1.2万·13薪,青岛·市北区,无需经验,大专,青岛诺宸尚迅信息技术有限公司,"'计算机\n软件开发\n物联网\n呈现数据\n大数据行业\n数据搜集\n行业研究',"
大数据平台工程师,建筑/建材/工程,1.5-2.5万,北京·海淀区,5-7年,本科,中国恩菲工程技术有限公司,"'大数据平台\n五险一金\n补充医疗保险\n出国机会\n通讯补贴\n餐饮补贴\n交通补贴',"
高级大数据开发工程师,计算机软件,2-3.5万,成都·高新区,8-9年,本科,成都卡莱博尔信息技术股份有限公司,"'五险一金\n弹性工作\n绩效奖金',"
研发工程师-大数据,通信/电信运营、增值服务,2.5-3万,北京·海淀区,1年,本科,北京中创信测科技股份有限公司,"'五险一金\n补充医疗保险\n餐饮补贴\n年终奖金\n定期体检\n周末双休\n节日福利',"
大数据分析,计算机软件,6千-1.2万·13薪,青岛·城阳区,无需经验,大专,青岛诺宸尚迅信息技术有限公司,"'计算机\n行业研究\n统计学\n数据搜集\n软件开发\n数学\n大数据行业\n呈现数据',"
大数据开发工程师-内容生态与体验,互联网/电子商务,3-5万,北京,无需经验,本科,字节跳动,"'下午茶\n健身瑜伽\n六险一金\n五险一金\n股票期权\n团队氛围好\n晋升空间大',"
大数据分析师,计算机软件,6千-1万·13薪,沈阳·沈河区,1年,本科,辽宁卓信普惠征信服务有限公司,'征信\n数据库\n数据分析\n金融\n数字科技\n信贷\n五险一金\n通讯补贴']
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"['java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发,互联网/电子商务,9千-1.4万·13薪,成都·金牛区,3-4年,大专,四川文轩在线电子商务有限公司,"'计算机\njava\nbi\nflink\nHadoop\n五险一金\n通讯补贴\n餐饮补贴',"
大数据开发工程师.非晓,互联网/电子商务,1.2-2.2万,重庆·渝北区,无需经验,本科,重庆维普资讯有限公司,"'五险一金\n交通补贴\n通讯补贴\n专业培训\n绩效奖金\n年终奖金\n定期体检',"
